state,county,cofips,race,sex,renters,variance
AL,CHEROKEE,01019,asian,female,0,240.127651655631
AL,CHEROKEE,01019,asian,male,0,2730.49425422371
AL,CHEROKEE,01019,black,female,42.4627010269328,475.023090075208
AL,CHEROKEE,01019,black,male,35.6616934702577,335.100545996229
AL,CHEROKEE,01019,hisp,female,80.1881188118812,1416.46219419528
AL,CHEROKEE,01019,hisp,male,102.532673267327,2310.69663216152
AL,CHEROKEE,01019,other,female,45.5646258503401,2107.87879269008
AL,CHEROKEE,01019,other,male,21.1632653061225,456.042537816016
AL,CHEROKEE,01019,white,female,1928.75419317525,23296.1240894588
AL,CHEROKEE,01019,white,male,1751.2990167727,19239.4664978531
AL,CHILTON,01021,asian,female,49.6470588235294,2010.21617724635
AL,CHILTON,01021,asian,male,39.0588235294118,1246.17099766674
AL,CHILTON,01021,black,female,752.171606033718,12164.0197578414
AL,CHILTON,01021,black,male,551.801774622893,6565.72917565726
AL,CHILTON,01021,hisp,female,473.43661971831,3932.54322430462
AL,CHILTON,01021,hisp,male,606.633802816901,6338.80019500067
AL,CHILTON,01021,other,female,139.613382899628,499.24661656035
AL,CHILTON,01021,other,male,158.513011152416,630.480437255987
AL,CHILTON,01021,white,female,2463.29907809111,32811.6048877011
AL,CHILTON,01021,white,male,2136.11713665944,24775.2247431555
AL,CHOCTAW,01023,asian,female,0,1847.7286795207
AL,CHOCTAW,01023,asian,male,0,3219.48245119687
AL,CHOCTAW,01023,black,female,605.611153071501,4686.82709864314
AL,CHOCTAW,01023,black,male,518.376762336354,3440.01398179783
AL,CHOCTAW,01023,hisp,female,22.0826446280992,151.775443795541
AL,CHOCTAW,01023,hisp,male,31.4710743801653,306.494523116316
AL,CHOCTAW,01023,other,female,1.12533333333333,630.273439392972
AL,CHOCTAW,01023,other,male,0.786666666666667,307.99880107969
AL,CHOCTAW,01023,white,female,399.697236180905,4428.12406645658
AL,CHOCTAW,01023,white,male,328.833542713568,3000.94874929419
AL,CLARKE,01025,asian,female,13.6363636363636,11104.2146409494
AL,CLARKE,01025,asian,male,18,19344.8417722084
AL,CLARKE,01025,black,female,1485.82766868077,15700.5202549278
AL,CLARKE,01025,black,male,1271.80375125881,11540.2241245465
AL,CLARKE,01025,hisp,female,0,215.403037686015
AL,CLARKE,01025,hisp,male,0,437.494699225022
AL,CLARKE,01025,other,female,0,1718.43549412884
AL,CLARKE,01025,other,male,0,839.754547722212
AL,CLARKE,01025,white,female,1466.52198492462,16614.0091397024
AL,CLARKE,01025,white,male,1206.51727386935,11296.1520828592
AL,CLAY,01027,asian,female,0,172.635326800041
AL,CLAY,01027,asian,male,0,1963.03826174736
AL,CLAY,01027,black,female,264.967254408061,2146.21232774391
AL,CLAY,01027,black,male,222.528967254408,1515.92980577627
AL,CLAY,01027,hisp,female,63.4455445544554,832.748399187074
AL,CLAY,01027,hisp,male,81.1247524752475,1358.27913627622
AL,CLAY,01027,other,female,61.6462585034014,1713.534981598
AL,CLAY,01027,other,male,28.6326530612245,372.059369221316
AL,CLAY,01027,white,female,834.942741469057,9127.22737348612
AL,CLAY,01027,white,male,758.123770965876,7531.14512356729
AL,CLEBURNE,01029,asian,female,0,134.984649711179
AL,CLEBURNE,01029,asian,male,0,1534.9119849527
AL,CLEBURNE,01029,black,female,43.3119550474714,436.153166262264
AL,CLEBURNE,01029,black,male,36.3749273396629,307.686889399846
AL,CLEBURNE,01029,hisp,female,24.6732673267327,630.146914344052
AL,CLEBURNE,01029,hisp,male,31.5485148514852,1029.7713567595
AL,CLEBURNE,01029,other,female,21.4421768707483,973.029926630404
AL,CLEBURNE,01029,other,male,9.95918367346939,210.201612646838
AL,CLEBURNE,01029,white,female,1210.48467322152,8347.55512459694
AL,CLEBURNE,01029,white,male,1099.11393869289,6895.12686601978
AL,COFFEE,01031,asian,female,72.5112107623319,1211.67188570019
AL,COFFEE,01031,asian,male,105.910313901345,2563.50628930281
AL,COFFEE,01031,black,female,1770.79782903664,13160.9963646033
AL,COFFEE,01031,black,male,1344.82858435097,7720.384359314
AL,COFFEE,01031,hisp,female,412.8046875,1251.69074518418
AL,COFFEE,01031,hisp,male,668.503125,2950.66218352814
AL,COFFEE,01031,other,female,117.434911242604,1420.64020603602
AL,COFFEE,01031,other,male,37.207100591716,152.458784409302
AL,COFFEE,01031,white,female,3780.91071428571,24095.4307598586
AL,COFFEE,01031,white,male,3457.04147465438,20279.5166347513
AL,COLBERT,01033,asian,female,31.2857142857143,7982.28451647931
AL,COLBERT,01033,asian,male,22.2857142857143,4051.22497729191
AL,COLBERT,01033,black,female,1494.03765690377,9877.94725068479
AL,COLBERT,01033,black,male,1060.11715481172,5106.71175474784
AL,COLBERT,01033,hisp,female,237.992844364937,10125.5021208672
AL,COLBERT,01033,hisp,male,247.78175313059,10974.0194965564
AL,COLBERT,01033,other,female,123.148688046647,2683.00919566435
AL,COLBERT,01033,other,male,60.1749271137026,647.786993509628
AL,COLBERT,01033,white,female,4028.8732527837,45425.3469646932
AL,COLBERT,01033,white,male,3117.22672352523,27371.3053869982
AL,CONECUH,01035,asian,female,0,2309.66084940087
AL,CONECUH,01035,asian,male,0,4024.35306399608
AL,CONECUH,01035,black,female,615.781722054381,5789.72497634363
AL,CONECUH,01035,black,male,527.082326283988,4248.27322477924
AL,CONECUH,01035,hisp,female,22.7727272727273,212.126551010659
AL,CONECUH,01035,hisp,male,32.4545454545455,428.95843454651
AL,CONECUH,01035,other,female,92.2773333333333,2147.55278757704
AL,CONECUH,01035,other,male,64.5066666666667,1053.69796973919
AL,CONECUH,01035,white,female,301.221105527638,2396.63513797894
AL,CONECUH,01035,white,male,247.816582914573,1624.3058074817
AL,COOSA,01037,asian,female,0,510.254525359675
AL,COOSA,01037,asian,male,0,315.818910195441
AL,COOSA,01037,black,female,364.349068322981,6575.13946483384
AL,COOSA,01037,black,male,267.290683229814,3543.15835868414
AL,COOSA,01037,hisp,female,13.5267605633803,276.460585173087
AL,COOSA,01037,hisp,male,17.3323943661972,453.806521766107
AL,COOSA,01037,other,female,4.25650557620818,81.1316883261014
AL,COOSA,01037,other,male,4.83271375464684,104.572079979025
AL,COOSA,01037,white,female,450.260303687636,5509.70850654342
AL,COOSA,01037,white,male,390.455531453362,4146.65663123835
AL,COVINGTON,01039,asian,female,5.17937219730942,691.265349459869
AL,COVINGTON,01039,asian,male,7.56502242152466,1474.61542423881
AL,COVINGTON,01039,black,female,846.425373134328,8468.07622290305
AL,COVINGTON,01039,black,male,642.81592039801,4913.67460898709
AL,COVINGTON,01039,hisp,female,47.4765625,493.521069802477
AL,COVINGTON,01039,hisp,male,76.884375,1289.87510817675
AL,COVINGTON,01039,other,female,98.6094674556213,1611.29189217302
AL,COVINGTON,01039,other,male,31.2426035502959,168.691469173579
AL,COVINGTON,01039,white,female,2727.21428571429,17365.2556741773
AL,COVINGTON,01039,white,male,2493.60368663595,14588.069628977
AL,CRENSHAW,01041,asian,female,34.0358744394619,363.657771251704
AL,CRENSHAW,01041,asian,male,49.7130044843049,771.093225641648
AL,CRENSHAW,01041,black,female,572.611261872456,3890.08266074748
AL,CRENSHAW,01041,black,male,434.868385345997,2257.20315121562
AL,CRENSHAW,01041,hisp,female,30.578125,318.030651032768
AL,CRENSHAW,01041,hisp,male,49.51875,832.218307970687
AL,CRENSHAW,01041,other,female,44.8224852071006,744.609861009963
AL,CRENSHAW,01041,other,male,14.2011834319527,76.1808392670472
AL,CRENSHAW,01041,white,female,907.8,5562.22737160841
AL,CRENSHAW,01041,white,male,830.038709677419,4657.92788670911
AL,CULLMAN,01043,asian,female,46,2224.91863115635
AL,CULLMAN,01043,asian,male,49,2521.3930214586
AL,CULLMAN,01043,black,female,84,3183.31162792121
AL,CULLMAN,01043,black,male,95,4059.18472817304
AL,CULLMAN,01043,hisp,female,296.067833698031,1647.82978201009
AL,CULLMAN,01043,hisp,male,342.938730853392,2168.45758377255
AL,CULLMAN,01043,other,female,141.341389728097,867.995234364555
AL,CULLMAN,01043,other,male,122.441087613293,664.832343436938
AL,CULLMAN,01043,white,female,6278.98680351906,25195.8776427863
AL,CULLMAN,01043,white,male,5075.8504398827,17205.3823878433
AL,DALE,01045,asian,female,78.7136150234742,841.658293049331
AL,DALE,01045,asian,male,45.0469483568075,284.791641511357
AL,DALE,01045,black,female,2259.90519237129,21052.4353049262
AL,DALE,01045,black,male,1655.03252122148,11398.5020022217
AL,DALE,01045,hisp,female,582.712962962963,10495.4575980399
AL,DALE,01045,hisp,male,706.740740740741,15373.2915647869
AL,DALE,01045,other,female,150.151150054765,864.675856789555
AL,DALE,01045,other,male,195.575027382256,1442.09078991369
AL,DALE,01045,white,female,4236.81319065604,33035.997446375
AL,DALE,01045,white,male,3827.44034130648,27071.7585316366
AL,DALLAS,01047,asian,female,47,21511.736162501
AL,DALLAS,01047,asian,male,0,0
AL,DALLAS,01047,black,female,5376.06162180464,26095.0323166243
AL,DALLAS,01047,black,male,3748.97206703911,13222.4211047695
AL,DALLAS,01047,hisp,female,98.1818181818182,1871.89636171638
AL,DALLAS,01047,hisp,male,85.0909090909091,1411.30652449255
AL,DALLAS,01047,other,female,31.8561151079137,791.274105434255
AL,DALLAS,01047,other,male,104.892086330935,8391.95351587683
AL,DALLAS,01047,white,female,1067.09695431472,13363.8449602754
AL,DALLAS,01047,white,male,823.887563451777,8013.67902962212
AL,DEKALB,01049,asian,female,90.4251968503937,736.63193129506
AL,DEKALB,01049,asian,male,0,0
AL,DEKALB,01049,black,female,237.503546099291,3112.1316843469
AL,DEKALB,01049,black,male,192.971631205674,2068.26465060638
AL,DEKALB,01049,hisp,female,1063.03548085901,4403.09362860936
AL,DEKALB,01049,hisp,male,1514.84687208217,8392.42626572351
AL,DEKALB,01049,other,female,275.516819571865,2047.59080224948
AL,DEKALB,01049,other,male,132.850152905199,521.089949957738
AL,DEKALB,01049,white,female,6033.50148084456,39306.5840768539
AL,DEKALB,01049,white,male,5096.52144836152,28474.875117138
AL,ELMORE,01051,asian,female,21.7213114754098,313.286032182642
AL,ELMORE,01051,asian,male,55.3169398907104,2007.04127790791
AL,ELMORE,01051,black,female,2152.29381357345,28246.8493204384
AL,ELMORE,01051,black,male,1507.45172586293,14022.6428379005
AL,ELMORE,01051,hisp,female,229.157699443414,3901.33632054212
AL,ELMORE,01051,hisp,male,344.78293135436,8740.51366224411
