,state,county,cofips,race,sex,renters,variance
82,AL,CHAMBERS,1017,black,male,1862.05022182786,9663.11533603523
83,AL,CHAMBERS,1017,hisp,female,23.1887323943662,552.020373861418
84,AL,CHAMBERS,1017,hisp,male,29.712676056338,906.043818513031
85,AL,CHAMBERS,1017,other,female,23.8364312267658,332.16346497371
86,AL,CHAMBERS,1017,other,male,27.0631970260223,427.799859673681
87,AL,CHAMBERS,1017,white,female,1685.66201193059,15903.6964461966
88,AL,CHAMBERS,1017,white,male,1461.76789587853,12006.8264344542
89,AL,CHEROKEE,1019,asian,female,0.0,240.127651655631
90,AL,CHEROKEE,1019,asian,male,0.0,2730.49425422371
91,AL,CHEROKEE,1019,black,female,42.4627010269328,475.023090075208
92,AL,CHEROKEE,1019,black,male,35.6616934702577,335.100545996229
93,AL,CHEROKEE,1019,hisp,female,80.1881188118812,1416.46219419528
94,AL,CHEROKEE,1019,hisp,male,102.532673267327,2310.69663216152
95,AL,CHEROKEE,1019,other,female,45.5646258503401,2107.87879269008
96,AL,CHEROKEE,1019,other,male,21.1632653061225,456.042537816016
97,AL,CHEROKEE,1019,white,female,1928.75419317525,23296.1240894588
98,AL,CHEROKEE,1019,white,male,1751.2990167727,19239.4664978531
99,AL,CHILTON,1021,asian,female,49.6470588235294,2010.21617724635
100,AL,CHILTON,1021,asian,male,39.0588235294118,1246.17099766674
101,AL,CHILTON,1021,black,female,752.171606033718,12164.0197578414
102,AL,CHILTON,1021,black,male,551.801774622893,6565.72917565726
103,AL,CHILTON,1021,hisp,female,473.43661971831,3932.54322430462
104,AL,CHILTON,1021,hisp,male,606.633802816901,6338.80019500067
105,AL,CHILTON,1021,other,female,139.613382899628,499.24661656035
106,AL,CHILTON,1021,other,male,158.513011152416,630.480437255987
107,AL,CHILTON,1021,white,female,2463.29907809111,32811.6048877011
108,AL,CHILTON,1021,white,male,2136.11713665944,24775.2247431555
109,AL,CHOCTAW,1023,asian,female,0.0,1847.7286795207
110,AL,CHOCTAW,1023,asian,male,0.0,3219.48245119687
111,AL,CHOCTAW,1023,black,female,605.611153071501,4686.82709864314
112,AL,CHOCTAW,1023,black,male,518.376762336354,3440.01398179783
113,AL,CHOCTAW,1023,hisp,female,22.0826446280992,151.775443795541
114,AL,CHOCTAW,1023,hisp,male,31.4710743801653,306.494523116316
115,AL,CHOCTAW,1023,other,female,1.12533333333333,630.273439392972
116,AL,CHOCTAW,1023,other,male,0.786666666666667,307.99880107969
117,AL,CHOCTAW,1023,white,female,399.697236180905,4428.12406645658
118,AL,CHOCTAW,1023,white,male,328.833542713568,3000.94874929419
119,AL,CLARKE,1025,asian,female,13.6363636363636,11104.2146409494
120,AL,CLARKE,1025,asian,male,18.0,19344.8417722084
121,AL,CLARKE,1025,black,female,1485.82766868077,15700.5202549278
122,AL,CLARKE,1025,black,male,1271.80375125881,11540.2241245465
123,AL,CLARKE,1025,hisp,female,0.0,215.403037686015
124,AL,CLARKE,1025,hisp,male,0.0,437.494699225022
125,AL,CLARKE,1025,other,female,0.0,1718.43549412884
126,AL,CLARKE,1025,other,male,0.0,839.754547722212
127,AL,CLARKE,1025,white,female,1466.52198492462,16614.0091397024
128,AL,CLARKE,1025,white,male,1206.51727386935,11296.1520828592
129,AL,CLAY,1027,asian,female,0.0,172.635326800041
130,AL,CLAY,1027,asian,male,0.0,1963.03826174736
131,AL,CLAY,1027,black,female,264.967254408061,2146.21232774391
132,AL,CLAY,1027,black,male,222.528967254408,1515.92980577627
133,AL,CLAY,1027,hisp,female,63.4455445544554,832.748399187074
134,AL,CLAY,1027,hisp,male,81.1247524752475,1358.27913627622
135,AL,CLAY,1027,other,female,61.6462585034014,1713.534981598
136,AL,CLAY,1027,other,male,28.6326530612245,372.059369221316
137,AL,CLAY,1027,white,female,834.942741469057,9127.22737348612
